"","id","autor","anio"
"123",2,"lopez suarez alejandra","2009"
"124",2,"lopez suarez alejandra","2009"
"125",2,"lopez suarez alejandra","2009"
"126",2,"lopez suarez alejandra","2009"
"127",2,"lopez suarez alejandra","2009"
"128",2,"lopez suarez alejandra","2015"
"129",2,"lopez suarez alejandra","2018"
"130",2,"lopez suarez alejandra","2012"
"131",2,"lopez suarez alejandra","2009"
"132",2,"lopez suarez alejandra","2008"
"133",2,"lopez suarez alejandra","2018"
"134",2,"lopez suarez alejandra","2009"
"135",2,"lopez suarez alejandra","2009"
"136",2,"lopez suarez alejandra","2010"
"137",2,"lopez suarez alejandra","2016"
"138",2,"lopez suarez alejandra","2011"
"139",2,"lopez suarez alejandra","2015"
"140",2,"lopez suarez alejandra","2017"
"141",2,"lopez suarez alejandra","2015"
"142",2,"lopez suarez alejandra","2018"
"143",2,"lopez suarez alejandra","2016"
"144",3,"magaña zavala carlos raul","2006"
"145",3,"magaña zavala carlos raul","2009"
"146",3,"magaña zavala carlos raul","2009"
"147",3,"magaña zavala carlos raul","2014"
"148",3,"magaña zavala carlos raul","2017"
"149",3,"magaña zavala carlos raul","2010"
"150",3,"magaña zavala carlos raul","2007"
"151",3,"magaña zavala carlos raul","2005"
"152",3,"magaña zavala carlos raul","2009"
"153",3,"magaña zavala carlos raul","2007"
"154",3,"magaña zavala carlos raul","2018"
"155",3,"magaña zavala carlos raul","2007"
"156",3,"magaña zavala carlos raul","2007"
"157",3,"magaña zavala carlos raul","2012"
"158",3,"magaña zavala carlos raul","2018"
"159",3,"magaña zavala carlos raul","2005"
"160",3,"magaña zavala carlos raul","2015"
"161",3,"magaña zavala carlos raul","2010"
"162",3,"magaña zavala carlos raul","2004"
"163",3,"magaña zavala carlos raul","2006"
"164",3,"magaña zavala carlos raul","2018"
"165",3,"magaña zavala carlos raul","2009"
"166",3,"magaña zavala carlos raul","2011"
"167",3,"magaña zavala carlos raul","2018"
"168",3,"magaña zavala carlos raul","2010"
"169",3,"magaña zavala carlos raul","2011"
"170",3,"magaña zavala carlos raul","2016"
"171",3,"magaña zavala carlos raul","2016"
"172",3,"magaña zavala carlos raul","2010"
"173",3,"magaña zavala carlos raul","2005"
"174",3,"magaña zavala carlos raul","2004"
"175",3,"magaña zavala carlos raul","2007"
"176",3,"magaña zavala carlos raul","2005"
"177",3,"magaña zavala carlos raul","2010"
"178",3,"magaña zavala carlos raul","2006"
"179",4,"perez ramirez j. guadalupe","1997"
"180",4,"perez ramirez j. guadalupe","1998"
"181",4,"perez ramirez j. guadalupe","1998"
"182",4,"perez ramirez j. guadalupe","1986"
"183",4,"perez ramirez j. guadalupe","1999"
"184",4,"perez ramirez j. guadalupe","1988"
"185",4,"perez ramirez j. guadalupe","1988"
"186",4,"perez ramirez j. guadalupe","1999"
"187",4,"perez ramirez j. guadalupe","2000"
"188",4,"perez ramirez j. guadalupe","2005"
"189",4,"perez ramirez j. guadalupe","2009"
"190",4,"perez ramirez j. guadalupe","2005"
"191",4,"perez ramirez j. guadalupe","2001"
"192",4,"perez ramirez j. guadalupe","2001"
"193",4,"perez ramirez j. guadalupe","2001"
"194",4,"perez ramirez j. guadalupe","2005"
"195",4,"perez ramirez j. guadalupe","1996"
"196",4,"perez ramirez j. guadalupe","1996"
"197",4,"perez ramirez j. guadalupe","2001"
"198",4,"perez ramirez j. guadalupe","1996"
"199",4,"perez ramirez j. guadalupe","1996"
"200",4,"perez ramirez j. guadalupe","2002"
"201",4,"perez ramirez j. guadalupe","2002"
"202",4,"perez ramirez j. guadalupe","1996"
"203",4,"perez ramirez j. guadalupe","2002"
"204",4,"perez ramirez j. guadalupe","2002"
"205",4,"perez ramirez j. guadalupe","1997"
"206",4,"perez ramirez j. guadalupe","1997"
"207",4,"perez ramirez j. guadalupe","1997"
"208",4,"perez ramirez j. guadalupe","1997"
"209",4,"perez ramirez j. guadalupe","1997"
"210",4,"perez ramirez j. guadalupe","1997"
"211",4,"perez ramirez j. guadalupe","2007"
"212",4,"perez ramirez j. guadalupe","2007"
"213",4,"perez ramirez j. guadalupe","1997"
"214",4,"perez ramirez j. guadalupe","2003"
"215",4,"perez ramirez j. guadalupe","2007"
"216",4,"perez ramirez j. guadalupe","2013"
"217",4,"perez ramirez j. guadalupe","1998"
"218",4,"perez ramirez j. guadalupe","2010"
"219",4,"perez ramirez j. guadalupe","2010"
"220",4,"perez ramirez j. guadalupe","2003"
"221",4,"perez ramirez j. guadalupe","1999"
"222",4,"perez ramirez j. guadalupe","1999"
"223",4,"perez ramirez j. guadalupe","1999"
"224",4,"perez ramirez j. guadalupe","2004"
"225",4,"perez ramirez j. guadalupe","1999"
"226",4,"perez ramirez j. guadalupe","1999"
"227",4,"perez ramirez j. guadalupe","1999"
"228",4,"perez ramirez j. guadalupe","2008"
"229",4,"perez ramirez j. guadalupe","1999"
"230",4,"perez ramirez j. guadalupe","2013"
"231",4,"perez ramirez j. guadalupe","2013"
"232",4,"perez ramirez j. guadalupe","1999"
"233",4,"perez ramirez j. guadalupe","1999"
"234",4,"perez ramirez j. guadalupe","2004"
"235",4,"perez ramirez j. guadalupe","1999"
"236",4,"perez ramirez j. guadalupe","2004"
"237",4,"perez ramirez j. guadalupe","2000"
"238",4,"perez ramirez j. guadalupe","2000"
"239",4,"perez ramirez j. guadalupe","2008"
"240",4,"perez ramirez j. guadalupe","2000"
"241",4,"perez ramirez j. guadalupe","2005"
"242",4,"perez ramirez j. guadalupe","2001"
"243",4,"perez ramirez j. guadalupe","2001"
"244",4,"perez ramirez j. guadalupe","2001"
"245",4,"perez ramirez j. guadalupe","2001"
"246",4,"perez ramirez j. guadalupe","2001"
"247",4,"perez ramirez j. guadalupe","2001"
"248",4,"perez ramirez j. guadalupe","2001"
"249",4,"perez ramirez j. guadalupe","2006"
"250",4,"perez ramirez j. guadalupe","2002"
"251",4,"perez ramirez j. guadalupe","2006"
"252",4,"perez ramirez j. guadalupe","2002"
"253",4,"perez ramirez j. guadalupe","2002"
"254",4,"perez ramirez j. guadalupe","2002"
"255",4,"perez ramirez j. guadalupe","2007"
"256",4,"perez ramirez j. guadalupe","2012"
"257",4,"perez ramirez j. guadalupe","2006"
"258",4,"perez ramirez j. guadalupe","2003"
"259",4,"perez ramirez j. guadalupe","2007"
"260",4,"perez ramirez j. guadalupe","2004"
"261",4,"perez ramirez j. guadalupe","2010"
"262",4,"perez ramirez j. guadalupe","2003"
"263",4,"perez ramirez j. guadalupe","2003"
"264",4,"perez ramirez j. guadalupe","2007"
"265",4,"perez ramirez j. guadalupe","2008"
"266",4,"perez ramirez j. guadalupe","2004"
"267",4,"perez ramirez j. guadalupe","2004"
"268",4,"perez ramirez j. guadalupe","2014"
"269",4,"perez ramirez j. guadalupe","2011"
"270",4,"perez ramirez j. guadalupe","2008"
"271",4,"perez ramirez j. guadalupe","2005"
"272",4,"perez ramirez j. guadalupe","2015"
"273",4,"perez ramirez j. guadalupe","2006"
"274",4,"perez ramirez j. guadalupe","2006"
"275",4,"perez ramirez j. guadalupe","2013"
"276",4,"perez ramirez j. guadalupe","2017"
"277",4,"perez ramirez j. guadalupe","2015"
"278",4,"perez ramirez j. guadalupe","2014"
"279",4,"perez ramirez j. guadalupe","2011"
"280",4,"perez ramirez j. guadalupe","2018"
"281",4,"perez ramirez j. guadalupe","2017"
"282",4,"perez ramirez j. guadalupe","2012"
"283",4,"perez ramirez j. guadalupe","2009"
"284",4,"perez ramirez j. guadalupe","2009"
"285",4,"perez ramirez j. guadalupe","2017"
"286",4,"perez ramirez j. guadalupe","2017"
"287",4,"perez ramirez j. guadalupe","2018"
"288",4,"perez ramirez j. guadalupe","2018"
"289",4,"perez ramirez j. guadalupe","2018"
"290",4,"perez ramirez j. guadalupe","2016"
"291",4,"perez ramirez j. guadalupe","2015"
"292",4,"perez ramirez j. guadalupe","2016"
"293",5,"reyes gasga jose","1997"
"294",5,"reyes gasga jose","1998"
"295",5,"reyes gasga jose","1986"
"296",5,"reyes gasga jose","1987"
"297",5,"reyes gasga jose","1987"
"298",5,"reyes gasga jose","1999"
"299",5,"reyes gasga jose","1988"
"300",5,"reyes gasga jose","1988"
"301",5,"reyes gasga jose","1988"
"302",5,"reyes gasga jose","1988"
"303",5,"reyes gasga jose","1989"
"304",5,"reyes gasga jose","1989"
"305",5,"reyes gasga jose","1989"
"306",5,"reyes gasga jose","1999"
"307",5,"reyes gasga jose","1989"
"308",5,"reyes gasga jose","1989"
"309",5,"reyes gasga jose","1990"
"310",5,"reyes gasga jose","1990"
"311",5,"reyes gasga jose","1990"
"312",5,"reyes gasga jose","1990"
"313",5,"reyes gasga jose","1991"
"314",5,"reyes gasga jose","1991"
"315",5,"reyes gasga jose","1991"
"316",5,"reyes gasga jose","1991"
"317",5,"reyes gasga jose","1991"
"318",5,"reyes gasga jose","1992"
"319",5,"reyes gasga jose","1992"
"320",5,"reyes gasga jose","1992"
"321",5,"reyes gasga jose","1993"
"322",5,"reyes gasga jose","1993"
"323",5,"reyes gasga jose","1994"
"324",5,"reyes gasga jose","1995"
"325",5,"reyes gasga jose","2005"
"326",5,"reyes gasga jose","1996"
"327",5,"reyes gasga jose","2002"
"328",5,"reyes gasga jose","1997"
"329",5,"reyes gasga jose","1997"
"330",5,"reyes gasga jose","1997"
"331",5,"reyes gasga jose","2003"
"332",5,"reyes gasga jose","2007"
"333",5,"reyes gasga jose","1998"
"334",5,"reyes gasga jose","1998"
"335",5,"reyes gasga jose","2003"
"336",5,"reyes gasga jose","1998"
"337",5,"reyes gasga jose","2007"
"338",5,"reyes gasga jose","2007"
"339",5,"reyes gasga jose","2005"
"340",5,"reyes gasga jose","1999"
"341",5,"reyes gasga jose","1999"
"342",5,"reyes gasga jose","2004"
"343",5,"reyes gasga jose","2000"
"344",5,"reyes gasga jose","2000"
"345",5,"reyes gasga jose","2000"
"346",5,"reyes gasga jose","2005"
"347",5,"reyes gasga jose","2008"
"348",5,"reyes gasga jose","2000"
"349",5,"reyes gasga jose","2000"
"350",5,"reyes gasga jose","2005"
"351",5,"reyes gasga jose","2000"
"352",5,"reyes gasga jose","2009"
"353",5,"reyes gasga jose","2001"
"354",5,"reyes gasga jose","2001"
"355",5,"reyes gasga jose","2006"
"356",5,"reyes gasga jose","2002"
"357",5,"reyes gasga jose","2002"
"358",5,"reyes gasga jose","2002"
"359",5,"reyes gasga jose","2006"
"360",5,"reyes gasga jose","2010"
"361",5,"reyes gasga jose","2010"
"362",5,"reyes gasga jose","2007"
"363",5,"reyes gasga jose","2003"
"364",5,"reyes gasga jose","2013"
"365",5,"reyes gasga jose","2007"
"366",5,"reyes gasga jose","2003"
"367",5,"reyes gasga jose","2003"
"368",5,"reyes gasga jose","2004"
"369",5,"reyes gasga jose","2011"
"370",5,"reyes gasga jose","2016"
"371",5,"reyes gasga jose","2008"
"372",5,"reyes gasga jose","2008"
"373",5,"reyes gasga jose","2005"
"374",5,"reyes gasga jose","2008"
"375",5,"reyes gasga jose","2008"
"376",5,"reyes gasga jose","2008"
"377",5,"reyes gasga jose","2005"
"378",5,"reyes gasga jose","2014"
"379",5,"reyes gasga jose","2014"
"380",5,"reyes gasga jose","2009"
"381",5,"reyes gasga jose","2009"
"382",5,"reyes gasga jose","2009"
"383",5,"reyes gasga jose","2009"
"384",5,"reyes gasga jose","2007"
"385",5,"reyes gasga jose","2012"
"386",5,"reyes gasga jose","2006"
"387",5,"reyes gasga jose","2006"
"388",5,"reyes gasga jose","2006"
"389",5,"reyes gasga jose","2006"
"390",5,"reyes gasga jose","2016"
"391",5,"reyes gasga jose","2010"
"392",5,"reyes gasga jose","2013"
"393",5,"reyes gasga jose","2011"
"394",5,"reyes gasga jose","2011"
"395",5,"reyes gasga jose","2018"
"396",5,"reyes gasga jose","2014"
"397",5,"reyes gasga jose","2012"
"398",5,"reyes gasga jose","2017"
"399",5,"reyes gasga jose","2015"
"400",5,"reyes gasga jose","2015"
"401",5,"reyes gasga jose","2015"
"402",5,"reyes gasga jose","2015"
"403",5,"reyes gasga jose","2010"
"404",5,"reyes gasga jose","2018"
"405",5,"reyes gasga jose","2016"
"406",5,"reyes gasga jose","2013"
"407",5,"reyes gasga jose","2013"
"408",5,"reyes gasga jose","2013"
"409",5,"reyes gasga jose","2015"
"410",5,"reyes gasga jose","2014"
"411",5,"reyes gasga jose","2018"
"412",5,"reyes gasga jose","2016"
"413",5,"reyes gasga jose","2017"
"414",6,"schabes retchkiman pablo samuel","2006"
"415",6,"schabes retchkiman pablo samuel","2013"
"416",6,"schabes retchkiman pablo samuel","1996"
"417",6,"schabes retchkiman pablo samuel","1996"
"418",6,"schabes retchkiman pablo samuel","1996"
"419",6,"schabes retchkiman pablo samuel","2011"
"420",6,"schabes retchkiman pablo samuel","2006"
"421",6,"schabes retchkiman pablo samuel","2006"
"422",6,"schabes retchkiman pablo samuel","2010"
"423",6,"schabes retchkiman pablo samuel","1999"
"424",6,"schabes retchkiman pablo samuel","2004"
"425",6,"schabes retchkiman pablo samuel","1989"
"426",6,"schabes retchkiman pablo samuel","2017"
"427",6,"schabes retchkiman pablo samuel","1982"
"428",6,"schabes retchkiman pablo samuel","2004"
"429",6,"schabes retchkiman pablo samuel","2006"
"430",6,"schabes retchkiman pablo samuel","1995"
"431",6,"schabes retchkiman pablo samuel","1978"
"432",6,"schabes retchkiman pablo samuel","1982"
"433",6,"schabes retchkiman pablo samuel","1983"
"434",6,"schabes retchkiman pablo samuel","2006"
"435",6,"schabes retchkiman pablo samuel","1990"
"436",6,"schabes retchkiman pablo samuel","2017"
"437",6,"schabes retchkiman pablo samuel","1992"
"438",6,"schabes retchkiman pablo samuel","2003"
"439",6,"schabes retchkiman pablo samuel","2007"
"440",6,"schabes retchkiman pablo samuel","2001"
"441",6,"schabes retchkiman pablo samuel","1981"
"442",6,"schabes retchkiman pablo samuel","1984"
"443",6,"schabes retchkiman pablo samuel","2009"
"444",6,"schabes retchkiman pablo samuel","2016"
"445",6,"schabes retchkiman pablo samuel","1996"
"446",6,"schabes retchkiman pablo samuel","2009"
"447",6,"schabes retchkiman pablo samuel","2009"
"448",6,"schabes retchkiman pablo samuel","2010"
"449",6,"schabes retchkiman pablo samuel","1990"
"450",6,"schabes retchkiman pablo samuel","1990"
"451",6,"schabes retchkiman pablo samuel","2004"
"452",6,"schabes retchkiman pablo samuel","1996"
"453",6,"schabes retchkiman pablo samuel","1989"
"454",6,"schabes retchkiman pablo samuel","2007"
"455",6,"schabes retchkiman pablo samuel","1977"
"456",6,"schabes retchkiman pablo samuel","1984"
"457",6,"schabes retchkiman pablo samuel","1998"
"458",6,"schabes retchkiman pablo samuel","2006"
